,date,maxtp(Maximum Air Temperature - degrees C),mintp(Minimum Air Temperature - degrees C),gmin(Grass Minimum Temperature - degrees C),rain(Precipitation Amount - mm),cbl (Mean CBL Pressure-hpa),wdsp(Mean Wind Speed - knot),pe(Potential Evapotranspiration - mm),evap(Evaporation -mm)
0,1942-01-01,9.7,6.8,4.7,0.0,1020.3,17.2,1.1,1.4
1,1942-01-02,9.9,7.9,6.7,0.1,1016.2,15.2,0.7,0.9
2,1942-01-03,11.2,8.9,7.2,1.5,1006.8,14.0,0.5,0.6
3,1942-01-04,9.2,2.7,3.4,3.5,1001.5,17.0,0.6,0.7
4,1942-01-05,3.5,-0.8,0,0.6,1013.4,13.0,0.6,0.7
5,1942-01-06,5.1,0.7,-3.7,0.0,1021.1,9.7,0.4,0.5
6,1942-01-07,7.1,0.5,-1,0.0,1021.7,10.3,0.2,0.2
7,1942-01-08,7.1,1.4,0.2,0.0,1016.8,9.3,0.2,0.2
8,1942-01-09,4.5,0.7,0.9,0.2,1012.0,11.8,0.5,0.7
9,1942-01-10,5.3,-2.8,-4.1,0.0,1015.9,4.0,0.0,0.1
10,1942-01-11,4.0,-2.6,-9.5,1.1,1014.6,2.8,0.2,0.3
11,1942-01-12,5.1,0.1,-1.1,2.5,999.5,8.6,0.3,0.5
12,1942-01-13,4.8,-1.4,-2,0.2,987.0,7.5,0.0,0
13,1942-01-14,4.7,-3.1,-8,0.1,996.9,3.8,0.1,0.2
14,1942-01-15,4.5,0.2,-7.8,2.1,997.2,26.3,0.4,0.7
15,1942-01-16,4.4,3.0,2.2,9.6,996.9,18.0,0.4,0.6
16,1942-01-17,8.5,0.8,1.7,4.5,1006.8,7.1,0.0,0.1
17,1942-01-18,7.8,1.4,1.2,0.0,1007.5,8.4,0.1,0.2
18,1942-01-19,7.9,3.9,-4.3,23.1,1004.1,17.0,0.4,0.6
19,1942-01-20,7.4,-0.7,-1.7,0.1,1005.3,7.3,0.3,0.4
20,1942-01-21,6.5,5.1,2.2,1.0,1006.2,19.9,0.3,0.6
21,1942-01-22,7.7,3.4,2.8,7.6,1007.5,8.3,0.5,0.6
22,1942-01-23,11.9,7.2,3,5.8,998.0,19.6,0.5,0.8
23,1942-01-24,10.4,3.4,1.8,2.9,990.1,19.1,0.9,1.2
24,1942-01-25,5.9,1.8,0.6,1.1,989.5,24.3,0.9,1.3
25,1942-01-26,6.1,-0.1,-1.2,0.0,1000.8,10.9,0.4,0.5
26,1942-01-27,9.1,2.1,-0.8,3.9,996.8,20.4,0.4,0.6
27,1942-01-28,6.0,1.4,0.1,3.4,990.2,19.7,0.7,0.9
28,1942-01-29,5.6,-0.6,0.3,0.6,996.3,11.4,0.2,0.3
29,1942-01-30,6.6,1.1,-6.3,11.0,996.7,16.9,0.4,0.6
30,1942-01-31,6.0,-0.2,-2.7,5.4,1004.4,8.2,0.4,0.5
31,1942-02-01,9.9,6.0,2.9,1.6,1005.0,19.5,0.4,0.6
32,1942-02-02,9.6,5.6,6,2.5,1007.0,10.6,0.3,0.5
33,1942-02-03,11.6,7.1,5.8,0.4,1003.4,17.0,0.8,1.1
34,1942-02-04,7.5,2.3,3.2,1.1,1011.0,11.2,0.7,1
35,1942-02-05,3.6,-0.2,-1.5,0.1,1020.0,10.9,0.9,1.2
36,1942-02-06,4.4,-0.6,-2.4,1.3,1015.9,8.4,0.3,0.4
37,1942-02-07,5.2,1.4,2.4,0.1,1016.5,7.2,0.5,0.6
38,1942-02-08,3.2,-3.2,-7.8,0.0,1020.0,7.5,0.3,0.4
39,1942-02-09,7.5,3.2,2,0.0,1015.8,6.9,0.5,0.6
40,1942-02-10,9.3,-1.4,3.4,0.5,1009.3,13.3,0.8,1.1
41,1942-02-11,3.1,-4.2,-5.7,0.0,1010.3,9.8,0.5,0.7
42,1942-02-12,9.0,3.1,0.3,0.5,1005.1,18.2,1.0,1.4
43,1942-02-13,5.7,-1.1,-0.7,0.0,1012.7,11.0,0.5,0.7
44,1942-02-14,5.9,-0.1,-4.9,0.0,1022.6,1.9,0.5,0.8
45,1942-02-15,7.1,-2.2,-8.9,0.0,1025.5,6.3,0.6,0.8
46,1942-02-16,5.7,-1.1,0.4,0.0,1029.4,9.3,0.5,0.8
47,1942-02-17,3.9,-1.7,-8.3,0.0,1031.1,7.5,0.5,0.8
48,1942-02-18,3.6,1.1,1.3,0.0,1028.3,10.2,0.7,1
49,1942-02-19,3.7,-0.5,0,0.0,1025.6,6.6,0.6,0.8
50,1942-02-20,4.6,-2.1,-7.8,0.0,1018.0,5.2,0.5,0.8
51,1942-02-21,2.9,-0.8,-8.9,0.0,1008.5,9.8,0.8,1.1
52,1942-02-22,0.0,-2.3,-1.7,2.0,1002.3,10.6,0.5,0.8
53,1942-02-23,2.4,-2.4,-3.3,0.7,999.8,8.7,0.7,1.1
54,1942-02-24,3.9,-2.7,-4.6,0.0,999.9,2.2,0.5,0.7
55,1942-02-25,6.2,-2.2,-8.3,0.1,1004.7,2.0,0.6,1
56,1942-02-26,7.3,-4.3,-10.7,0.0,1007.7,3.1,0.7,1.1
57,1942-02-27,7.4,2.2,-4.3,7.0,1001.8,11.8,0.8,1.2
58,1942-02-28,8.3,0.7,-0.6,7.9,996.8,5.9,0.6,0.8
59,1942-03-01,5.8,3.3,2.8,0.3,1002.1,10.6,0.7,1.1
60,1942-03-02,6.1,2.1,1.7,0.0,1004.2,21.6,0.6,1.1
61,1942-03-03,7.6,5.7,5,1.2,997.5,23.3,0.5,1
62,1942-03-04,11.6,6.1,5.9,7.7,992.0,9.1,1.0,1.4
63,1942-03-05,6.2,-0.8,0.1,14.5,997.6,15.8,0.5,0.9
64,1942-03-06,0.9,-4.4,-1,12.2,1000.5,6.8,0.4,0.7
65,1942-03-07,5.4,-6.1,-8.3,0.0,1003.2,10.4,0.8,1.2
66,1942-03-08,7.0,3.6,0.8,8.8,1001.0,16.3,0.9,1.4
67,1942-03-09,4.6,1.4,1.6,6.9,1003.5,8.3,0.5,0.8
68,1942-03-10,6.7,4.4,3.3,0.0,1006.1,7.9,0.7,1
69,1942-03-11,5.8,3.4,1.6,0.3,1004.9,7.5,0.8,1.1
70,1942-03-12,7.2,4.4,1.8,3.0,998.6,14.9,0.5,0.9
71,1942-03-13,6.1,5.0,3.7,2.5,991.1,17.0,0.6,1.1
72,1942-03-14,10.6,5.2,4.4,3.9,987.3,11.2,0.7,1.1
73,1942-03-15,14.8,6.3,3.1,0.7,991.3,13.1,1.4,2
74,1942-03-16,12.5,6.3,2.8,2.5,991.0,14.9,0.7,1.2
75,1942-03-17,14.4,6.2,1.1,0.5,986.5,5.5,1.3,1.7
76,1942-03-18,11.1,4.5,1.7,0.0,988.8,5.3,0.8,1.1
77,1942-03-19,9.9,6.1,3.2,1.8,997.8,5.1,0.8,1.1
78,1942-03-20,11.7,4.9,4.4,0.0,1006.8,7.2,1.4,1.9
79,1942-03-21,11.6,1.3,0.8,0.0,1013.3,6.2,1.4,2.2
80,1942-03-22,11.0,2.8,2.2,0.0,1020.2,5.7,1.2,1.9
81,1942-03-23,11.2,0.3,-0.4,0.0,1022.8,3.7,1.3,1.8
82,1942-03-24,16.2,0.7,-2.1,0.0,1018.4,3.5,1.9,2.7
83,1942-03-25,9.9,1.6,1.1,0.0,1014.3,7.3,0.9,1.4
84,1942-03-26,7.8,1.3,-0.6,0.0,1008.2,9.8,0.9,1.4
85,1942-03-27,9.2,4.5,2.5,0.0,1002.7,12.1,1.4,2.2
86,1942-03-28,6.8,3.7,3.6,0.0,1005.6,14.2,1.4,2.1
87,1942-03-29,9.8,4.9,3.9,1.4,1002.6,10.4,1.0,1.4
88,1942-03-30,16.0,4.4,2.8,0.2,996.8,11.1,1.5,2.2
89,1942-03-31,14.8,6.0,7.6,8.0,989.8,17.1,1.9,2.9
90,1942-04-01,8.9,3.1,2.7,8.7,996.5,25.0,1.7,3.2
91,1942-04-02,10.4,0.8,0,0.3,1004.9,13.2,1.6,2.7
92,1942-04-03,9.7,3.3,5.6,3.1,997.2,12.9,1.4,2.1
93,1942-04-04,9.8,1.1,-0.4,3.5,983.3,14.4,1.0,1.6
94,1942-04-05,12.2,6.1,4.4,2.8,978.4,22.0,2.4,4.2
95,1942-04-06,13.4,6.4,5.7,5.3,978.8,20.3,2.4,3.7
96,1942-04-07,12.3,4.9,3.9,2.6,977.5,18.6,2.0,3.2
97,1942-04-08,9.4,2.4,1.3,0.6,989.3,23.7,2.1,3.8
98,1942-04-09,12.3,6.0,2.7,3.6,982.5,19.0,2.1,3.3
99,1942-04-10,13.5,4.5,3.3,0.0,999.0,17.1,2.4,3.9
100,1942-04-11,15.7,8.6,7.8,0.0,1007.8,15.0,2.1,3.5
101,1942-04-12,12.9,9.1,9.1,0.1,1001.3,19.8,1.7,2.6
102,1942-04-13,10.2,6.8,8.2,2.8,1003.2,4.6,0.9,1.3
103,1942-04-14,11.0,5.7,6.4,0.0,1013.4,10.7,1.8,2.9
104,1942-04-15,14.4,3.1,0.6,0.0,1020.8,8.3,2.5,3.8
105,1942-04-16,16.2,4.4,1.2,0.0,1018.2,5.3,3.0,4.2
106,1942-04-17,12.7,4.2,1.8,0.0,1009.7,10.7,2.5,3.9
107,1942-04-18,12.7,5.6,4,0.0,999.8,9.2,2.3,3.5
108,1942-04-19,11.4,5.4,4.4,0.0,997.5,6.1,1.5,2.1
109,1942-04-20,13.1,5.7,4.4,0.0,1002.4,9.2,2.1,2.8
110,1942-04-21,12.1,7.0,6.1,0.0,1005.7,5.5,2.1,2.8
111,1942-04-22,13.9,7.3,5.6,0.0,1006.1,3.0,1.8,2.4
112,1942-04-23,9.9,5.7,6.8,3.4,1010.0,13.5,1.2,2
113,1942-04-24,8.4,4.6,3.8,0.1,1013.6,19.9,2.2,4.1
114,1942-04-25,10.8,3.3,1.8,0.0,1009.9,20.9,2.8,5
115,1942-04-26,10.7,3.7,2.3,0.0,1006.8,21.9,2.6,4.8
116,1942-04-27,13.1,4.9,2.8,0.0,1008.0,20.1,3.0,5
117,1942-04-28,12.4,5.4,5.1,0.0,1010.7,23.0,3.3,5.8
118,1942-04-29,11.7,4.9,3.8,0.0,1013.0,25.3,2.8,4.8
119,1942-04-30,12.2,4.4,2.7,0.0,1016.8,14.8,3.0,4.9
120,1942-05-01,17.2,2.8,-0.6,0.0,1014.7,5.3,3.3,4.6
121,1942-05-02,14.1,1.8,-0.7,0.0,1012.0,6.5,3.0,4.3
122,1942-05-03,17.9,3.3,0.3,0.0,1014.7,7.4,3.5,5
123,1942-05-04,17.3,3.2,0.2,0.0,1017.3,5.9,3.1,4.4
124,1942-05-05,18.4,7.3,6.5,0.0,1015.7,12.6,3.6,5.2
125,1942-05-06,20.9,5.6,4.4,0.0,1009.7,17.3,5.0,7.4
126,1942-05-07,15.4,7.8,7.8,0.0,1006.3,10.4,2.1,2.9
127,1942-05-08,10.7,6.9,6.7,0.4,1006.2,11.7,1.4,2.2
128,1942-05-09,11.8,5.6,4.4,0.0,1005.4,17.9,2.8,5.1
129,1942-05-10,10.1,4.9,3.8,5.1,1001.2,20.4,2.1,3.9
130,1942-05-11,8.4,5.6,5,5.9,996.1,16.8,1.2,2.2
131,1942-05-12,10.3,6.2,5.9,0.0,994.5,17.3,1.9,3.2
132,1942-05-13,11.2,4.4,6,0.0,999.7,9.7,2.6,4.2
133,1942-05-14,14.4,4.4,3.9,0.0,1004.0,8.5,2.3,3.6
134,1942-05-15,10.9,8.4,6.8,12.5,999.0,13.2,1.1,2
135,1942-05-16,16.9,8.1,4.6,0.7,995.8,13.8,2.6,4.1
136,1942-05-17,13.8,8.3,4.4,26.7,996.3,13.4,1.6,2.6
137,1942-05-18,16.2,9.0,9.4,1.6,997.6,10.0,2.1,3.1
138,1942-05-19,18.4,9.0,7.6,3.9,1005.5,8.6,3.0,4.4
139,1942-05-20,15.6,8.1,7.4,1.0,1006.0,5.7,1.8,2.5
140,1942-05-21,15.1,8.9,3.4,0.0,1001.8,5.0,1.7,2.3
141,1942-05-22,15.8,8.3,7.9,2.1,1002.3,9.3,2.7,4.1
142,1942-05-23,11.8,6.6,3.9,8.5,994.1,16.0,1.2,2.1
143,1942-05-24,14.3,5.2,3.8,4.0,993.9,17.4,2.7,4.8
144,1942-05-25,12.4,4.6,5.6,8.1,986.7,17.5,2.1,3.7
145,1942-05-26,12.2,7.2,4.2,2.6,980.4,20.2,2.3,3.8
146,1942-05-27,14.8,7.4,5.7,2.6,976.0,20.5,4.0,6.2
147,1942-05-28,15.8,6.1,5.9,5.5,979.0,13.0,2.4,3.9
148,1942-05-29,14.9,7.6,1.3,8.3,992.7,8.3,2.4,3.6
149,1942-05-30,15.2,5.9,4.9,8.7,1000.5,6.2,2.4,3.5
150,1942-05-31,15.7,6.8,5.5,0.0,1008.1,7.4,3.3,5
151,1942-06-01,18.3,11.3,7.3,0.0,1012.3,18.8,2.5,4
152,1942-06-02,20.4,11.8,11.8,0.0,1016.7,16.1,3.4,5.5
153,1942-06-03,23.7,9.0,5.2,0.0,1019.6,8.6,4.6,6.6
154,1942-06-04,24.1,11.6,6,0.0,1019.2,7.0,4.4,6.3
155,1942-06-05,23.9,11.2,9.7,0.0,1016.3,5.1,4.2,5.7
156,1942-06-06,22.5,7.1,7.9,0.0,1012.3,10.5,3.3,5
157,1942-06-07,15.3,4.4,2.8,0.0,1014.4,14.9,2.8,5
158,1942-06-08,14.8,5.2,3.9,0.0,1013.9,13.1,3.2,5.3
159,1942-06-09,13.0,3.6,1.8,0.0,1011.8,10.8,2.0,3
160,1942-06-10,13.9,7.1,6.7,0.0,1009.9,5.8,2.7,3.7
161,1942-06-11,14.9,3.9,0.2,0.0,1007.8,3.3,3.1,4.3
162,1942-06-12,14.4,4.3,6.8,0.5,1002.3,9.7,2.5,3.7
163,1942-06-13,14.4,1.4,0.1,0.0,1000.7,7.6,2.5,3.8
164,1942-06-14,12.6,4.2,-0.9,2.9,1002.0,6.4,1.7,2.5
165,1942-06-15,14.4,5.7,2.3,0.0,1004.8,10.1,2.3,3.5
166,1942-06-16,15.5,8.7,7.7,0.0,1004.8,9.2,2.9,4.3
167,1942-06-17,15.7,6.2,4.7,0.0,1002.6,11.7,2.1,3.2
168,1942-06-18,16.1,8.9,10.8,0.5,1006.4,9.6,2.4,3.8
169,1942-06-19,18.8,7.9,1.5,0.0,1011.8,8.6,3.4,5.3
170,1942-06-20,21.3,11.9,7.5,0.0,1013.3,6.7,3.1,4.3
171,1942-06-21,23.3,14.8,15,0.0,1010.7,7.2,3.5,4.6
172,1942-06-22,19.4,11.3,12.4,0.0,1007.8,10.9,2.8,3.9
173,1942-06-23,19.2,8.0,6.9,0.0,1010.3,8.9,3.5,5.2
174,1942-06-24,16.1,11.3,11.3,0.0,1014.5,9.6,2.3,3.1
175,1942-06-25,17.3,5.8,4.2,0.0,1017.7,8.4,3.6,5.5
176,1942-06-26,17.8,7.4,2.8,0.0,1017.8,3.8,2.3,3.1
177,1942-06-27,18.9,8.8,3.9,0.0,1013.8,11.1,2.7,3.9
178,1942-06-28,22.9,12.7,12.4,0.1,1011.5,11.3,4.3,6.2
179,1942-06-29,20.6,11.1,13.7,0.0,1014.6,10.7,2.8,4
180,1942-06-30,17.3,10.4,6.1,0.0,1014.2,7.2,3.1,4.3
181,1942-07-01,17.7,7.2,2.4,0.0,1010.4,5.5,3.5,5
182,1942-07-02,21.3,8.4,2.4,0.2,1005.2,13.0,3.2,4.8
183,1942-07-03,20.1,13.4,13.4,3.7,997.7,14.2,2.1,3.1
184,1942-07-04,20.3,9.8,7.3,0.0,994.2,12.6,3.5,5.5
185,1942-07-05,20.0,11.6,10.6,8.8,991.7,19.3,4.1,6.7
186,1942-07-06,19.9,10.6,8.7,2.3,993.3,15.4,3.7,5.6
187,1942-07-07,17.3,10.1,8.1,0.7,997.8,13.2,3.3,5
188,1942-07-08,18.1,9.1,7.2,4.2,1003.0,18.1,3.1,5.1
189,1942-07-09,18.1,9.4,8.6,0.8,1006.1,10.5,2.7,4
190,1942-07-10,16.8,7.8,6.6,3.6,1004.9,11.5,3.0,4.6
191,1942-07-11,17.2,8.6,7.2,0.0,1006.9,11.5,2.9,4.3
192,1942-07-12,17.8,9.5,7.4,0.0,1009.6,6.9,2.0,2.7
193,1942-07-13,19.4,10.6,12,0.4,1008.7,13.5,2.3,3.4
194,1942-07-14,19.2,8.9,7.3,0.0,1010.5,13.5,3.3,4.9
195,1942-07-15,16.9,9.3,8.3,2.0,1009.9,15.4,1.4,2.4
196,1942-07-16,18.2,11.4,12.2,0.3,1005.6,18.2,2.7,4.2
197,1942-07-17,16.2,10.6,10.2,0.0,1009.0,18.9,3.1,4.7
198,1942-07-18,16.5,9.3,7.7,0.0,1012.8,15.2,3.5,5.6
199,1942-07-19,21.7,9.7,7.2,0.0,1013.2,13.6,2.8,4
200,1942-07-20,22.2,14.6,14.2,0.0,1013.2,14.7,2.8,4.1
201,1942-07-21,22.2,14.5,15.6,0.0,1011.3,16.8,3.5,5.1
202,1942-07-22,17.7,13.3,13.2,3.0,1002.1,26.3,1.8,3.2
203,1942-07-23,19.1,12.2,11.3,1.1,1000.3,19.2,2.9,4.5
204,1942-07-24,20.2,10.4,11.7,0.7,1000.0,21.0,2.6,4.3
205,1942-07-25,16.9,9.1,6.9,5.2,1001.2,12.2,2.7,4.2
206,1942-07-26,16.4,9.2,7.1,7.7,1000.1,11.0,1.6,2.3
207,1942-07-27,18.4,10.7,11.1,5.0,1003.5,7.6,2.7,3.9
208,1942-07-28,18.8,10.0,3.9,6.9,1008.1,6.1,1.9,2.5
209,1942-07-29,19.9,11.7,10.1,0.4,1008.8,9.8,3.7,5.3
210,1942-07-30,18.8,10.2,7.7,0.0,1014.8,5.5,3.6,5.1
211,1942-07-31,21.2,11.2,9.9,0.0,1010.3,6.4,3.3,4.6
212,1942-08-01,20.3,9.9,4.8,0.0,1003.7,5.0,2.3,3.1
213,1942-08-02,14.8,12.6,10.9,29.3,999.1,2.0,1.4,1.8
214,1942-08-03,16.1,12.1,12.3,3.1,1004.1,8.8,1.7,2.4
215,1942-08-04,16.2,8.5,7.4,0.0,1012.0,9.5,2.4,3.4
216,1942-08-05,15.5,10.7,10.1,0.0,1015.0,6.5,1.9,2.5
217,1942-08-06,20.1,11.2,7.1,0.5,1011.8,6.0,2.5,3.3
218,1942-08-07,22.3,14.7,14,0.9,1004.2,9.9,2.5,3.4
219,1942-08-08,19.8,13.1,14.2,11.1,995.8,10.7,1.8,2.6
220,1942-08-09,20.6,11.9,10.5,1.0,999.8,11.8,2.9,4.2
221,1942-08-10,19.8,13.4,13.1,4.7,993.2,19.8,2.5,3.8
222,1942-08-11,18.3,11.6,11.8,0.8,996.0,19.8,2.5,4
223,1942-08-12,15.6,11.1,10.1,0.3,1002.0,14.0,1.7,2.7
224,1942-08-13,17.7,10.2,8.4,0.4,1003.2,9.4,1.5,2.2
225,1942-08-14,18.4,10.6,5.6,0.0,1003.6,6.8,2.4,3.5
226,1942-08-15,21.7,12.8,9,7.5,1001.8,12.8,2.1,3
227,1942-08-16,18.2,8.8,7.2,0.0,1008.3,15.0,2.7,4.2
228,1942-08-17,18.9,12.9,11.1,0.0,1006.8,16.8,3.0,4.1
229,1942-08-18,17.1,13.8,12.8,0.2,998.0,17.2,2.3,3.2
230,1942-08-19,19.4,11.7,9.9,0.1,992.7,16.9,3.1,4.8
231,1942-08-20,17.2,10.8,9.1,0.0,998.2,19.5,3.0,4.6
232,1942-08-21,21.2,9.0,6.8,0.5,997.1,15.0,2.4,3.6
233,1942-08-22,17.1,10.1,11.7,0.1,999.5,13.9,1.9,2.7
234,1942-08-23,16.6,6.7,4.9,0.0,1006.8,6.8,1.7,2.5
235,1942-08-24,15.6,10.5,4.6,9.7,1000.2,10.0,1.1,1.7
236,1942-08-25,18.8,13.3,13.7,15.1,994.5,8.2,1.6,2.1
237,1942-08-26,18.6,12.2,7.7,0.0,1002.6,8.6,2.3,3.5
238,1942-08-27,19.9,8.3,5.4,0.1,1009.7,4.3,2.4,3.2
239,1942-08-28,21.7,12.6,9.3,0.0,1006.3,4.7,3.0,4
240,1942-08-29,18.1,12.7,11.4,1.0,1003.0,5.6,1.4,1.9
241,1942-08-30,14.4,12.3,13.3,6.4,1000.5,10.5,1.0,1.6
242,1942-08-31,20.7,12.6,12,0.2,997.2,8.6,1.8,2.4
243,1942-09-01,17.3,10.2,8.3,0.2,997.2,10.2,1.9,2.6
244,1942-09-02,17.8,10.7,8.9,0.6,994.7,10.7,1.8,2.8
245,1942-09-03,18.3,10.6,13.9,3.0,992.7,15.5,2.4,3.7
246,1942-09-04,16.9,9.4,7.7,2.1,1000.0,21.5,2.1,3.4
247,1942-09-05,18.1,10.1,12.3,11.5,998.9,20.3,2.2,3.7
248,1942-09-06,16.8,9.2,7.8,0.0,1009.8,12.8,2.7,3.9
249,1942-09-07,18.4,10.6,9.4,0.2,1012.2,14.8,2.1,2.8
250,1942-09-08,21.1,12.8,11.1,0.3,1011.5,13.2,2.3,3.2
251,1942-09-09,18.2,8.2,6.8,0.0,1016.5,11.2,1.9,3.1
252,1942-09-10,20.5,7.2,4.4,0.0,1018.0,8.6,2.6,3.6
253,1942-09-11,18.8,7.6,2.8,0.0,1014.1,3.2,1.6,2.2
254,1942-09-12,16.1,10.6,9.3,0.0,1015.2,7.3,2.1,3
255,1942-09-13,16.6,8.8,6.1,0.0,1013.8,8.0,1.1,1.6
256,1942-09-14,18.6,12.2,10.1,1.3,1009.5,11.3,1.8,2.3
257,1942-09-15,16.3,8.5,7,0.0,1011.0,18.2,2.5,3.9
258,1942-09-16,17.6,7.5,5.7,0.0,1012.8,15.6,1.7,2.6
259,1942-09-17,19.1,12.2,12.1,0.0,1010.1,15.0,1.8,2.5
260,1942-09-18,16.0,10.5,9.9,6.2,1007.2,11.8,1.0,1.5
261,1942-09-19,14.0,9.7,9.6,5.1,1001.3,6.2,0.9,1.2
262,1942-09-20,15.6,11.1,11.6,17.5,992.3,11.2,1.1,1.5
263,1942-09-21,12.4,9.8,9.4,5.1,989.0,19.6,1.1,1.8
264,1942-09-22,14.4,8.3,7.4,1.7,990.2,17.0,1.4,2.1
265,1942-09-23,12.8,8.1,6.3,2.9,981.7,19.7,1.9,3
266,1942-09-24,13.8,6.4,6.2,6.0,986.8,11.0,1.5,2.2
267,1942-09-25,8.1,2.4,3.2,5.0,997.0,12.0,1.0,1.6
268,1942-09-26,13.0,0.6,-1.2,0.0,1003.1,4.5,1.4,1.9
269,1942-09-27,15.4,6.1,2.3,0.8,997.5,9.6,1.9,2.5
270,1942-09-28,12.0,9.4,8.3,32.8,988.2,10.9,0.7,1.1
271,1942-09-29,12.7,9.2,9.3,16.7,985.6,11.2,0.7,1.1
272,1942-09-30,13.9,9.5,8.2,3.4,993.2,15.9,1.4,2
273,1942-10-01,15.5,9.8,7.5,0.0,1006.2,11.3,1.5,2.1
274,1942-10-02,12.9,4.4,2.8,0.0,1016.3,3.8,0.9,1.2
275,1942-10-03,15.1,7.6,3.7,0.0,1011.7,7.2,1.0,1.4
276,1942-10-04,15.4,8.3,4.2,1.5,1003.6,8.8,1.0,1.4
277,1942-10-05,14.0,5.6,9.1,0.7,1006.8,12.8,1.1,1.8
278,1942-10-06,14.9,2.2,0.5,0.0,1013.4,7.5,1.4,2
